asset_id,asset_type,purchase_date,warranty_expiry,cost,department,status,vendor,owner,criticality,replacement_priority,business_impact_score,asset_age,incident_count,downtime_hours,age_score,incident_score,downtime_score,priority_score,impact_score,risk_score,risk_category,target_high_risk,predicted_risk_probability
1,Storage,2023-01-09,2026-01-08,8439,Finance,In Maintenance,Chapman-Arnold,Julie Howell,High,5,8,3.106849315068493,3.0,13.0,0.38809034907597534,0.375,0.325,1.0,0.8,0.525118069815195,Medium Risk,1,0.75
2,Laptop,2024-02-04,2027-02-03,2479,IT,In Maintenance,Munoz-Meadows,Joshua Moore,Low,2,2,2.0356164383561643,3.0,6.0,0.2542778918548939,0.375,0.15,0.4,0.2,0.2833555783709788,Low Risk,0,0.0
3,Network Device,2025-05-18,2028-05-17,4171,HR,Retired,Rodriguez-Williams,Natasha Hernandez,Low,4,2,0.7506849315068493,1.0,3.0,0.09377138945927448,0.125,0.075,0.8,0.2,0.2212542778918549,Low Risk,0,0.0
4,Server,2022-01-10,2025-01-09,13742,Operations,In Maintenance,Alvarez LLC,Donald Bradford,Low,4,9,4.104109589041096,2.0,13.0,0.512662559890486,0.25,0.325,0.8,0.9,0.4975325119780972,Medium Risk,1,0.82
5,Laptop,2019-03-22,2022-03-21,2264,Finance,Active,Hernandez-Taylor,Shawn Jackson,Low,3,4,6.912328767123288,1.0,2.0,0.8634496919917864,0.125,0.05,0.6,0.4,0.3701899383983573,Low Risk,0,0.0
6,Laptop,2021-06-16,2024-06-15,1888,Finance,Retired,Contreras PLC,Sara Patrick,Low,1,8,4.673972602739726,1.0,6.0,0.5838466803559206,0.125,0.15,0.2,0.8,0.33426933607118414,Low Risk,0,0.0
7,Desktop,2022-06-22,2025-06-21,1413,Finance,Active,Washington-Morse,Christopher Bryant,Medium,1,5,3.6575342465753424,2.0,15.0,0.4568788501026694,0.25,0.375,0.2,0.5,0.34637577002053394,Low Risk,0,0.0
8,Server,2025-10-24,2028-10-23,11141,Operations,Active,"Johnson, Farley and Robinson",Kerry Gonzalez,High,5,7,0.3150684931506849,2.0,15.0,0.039356605065023954,0.25,0.375,1.0,0.7,0.4128713210130048,Medium Risk,0,0.04
9,Storage,2023-09-30,2026-09-29,5950,IT,Active,Cunningham PLC,Aimee Ray,High,5,7,2.3835616438356166,1.0,3.0,0.29774127310061604,0.125,0.075,1.0,0.7,0.3670482546201232,Low Risk,0,0.0
10,Storage,2022-03-13,2025-03-12,6945,Operations,Retired,Roberts Group,Erin Gregory,High,2,8,3.9342465753424656,0.0,0.0,0.4914442162902122,0.0,0.0,0.4,0.8,0.27828884325804243,Low Risk,0,0.0
11,Server,2025-11-13,2028-11-12,12529,HR,Retired,Garza Group,Daniel Briggs,High,4,5,0.2602739726027397,4.0,20.0,0.0325119780971937,0.5,0.5,0.8,0.5,0.4515023956194388,Medium Risk,0,0.16
12,Storage,2023-04-26,2026-04-25,5588,Finance,In Maintenance,"Rice, Martinez and Gonzalez",Brenda Freeman,Medium,5,5,2.813698630136986,2.0,8.0,0.3514715947980835,0.25,0.2,1.0,0.5,0.4102943189596167,Medium Risk,0,0.01
13,Network Device,2022-03-18,2025-03-17,7655,HR,In Maintenance,Gilbert PLC,Jordan Lopez,Medium,2,7,3.9205479452054797,1.0,3.0,0.48973305954825463,0.125,0.075,0.4,0.7,0.3154466119096509,Low Risk,0,0.0
14,Network Device,2020-08-05,2023-08-05,2873,IT,In Maintenance,"Hunter, Petersen and Navarro",Mackenzie Baker MD,Low,3,10,5.536986301369863,3.0,17.0,0.6916495550992471,0.375,0.425,0.6,1.0,0.5758299110198495,Medium Risk,1,0.91
15,Server,2020-05-07,2023-05-07,9837,Finance,Retired,Hardy-Bradford,Sharon Parker,Medium,3,1,5.7835616438356166,2.0,10.0,0.7224503764544832,0.25,0.25,0.6,0.1,0.3744900752908966,Low Risk,0,0.1
16,Storage,2018-04-04,2021-04-03,3803,Risk,Retired,Clay-Foster,Dr. Melissa Caldwell MD,Medium,3,4,7.876712328767123,6.0,23.0,0.9839151266255989,0.75,0.575,0.6,0.4,0.6867830253251197,Medium Risk,1,0.97
17,Storage,2018-12-08,2021-12-07,8772,IT,Retired,Mccoy-Reyes,Jon Murray,High,5,5,7.197260273972603,1.0,8.0,0.8990417522245038,0.125,0.2,1.0,0.5,0.4823083504449008,Medium Risk,0,0.09
18,Desktop,2018-08-03,2021-08-02,998,Compliance,Retired,Boyle-Watson,Cheryl Hicks,High,3,8,7.545205479452055,1.0,3.0,0.9425051334702259,0.125,0.075,0.6,0.8,0.4510010266940452,Medium Risk,0,0.04
19,Laptop,2025-07-05,2028-07-04,2186,HR,Retired,Valentine-Smith,William Vincent,High,1,5,0.6191780821917808,2.0,14.0,0.07734428473648186,0.25,0.35,0.2,0.5,0.26546885694729633,Low Risk,0,0.0
20,Server,2023-04-21,2026-04-20,11807,IT,Active,"Williams, Lopez and Payne",Shannon Barrera,High,5,6,2.8273972602739725,2.0,8.0,0.35318275154004103,0.25,0.2,1.0,0.6,0.4256365503080082,Medium Risk,0,0.01
21,Storage,2020-10-26,2023-10-26,11221,HR,Active,Hall and Sons,William Rocha,Medium,4,5,5.3123287671232875,1.0,4.0,0.663586584531143,0.125,0.1,0.8,0.5,0.3852173169062286,Low Risk,0,0.02
22,Server,2022-11-02,2025-11-01,6886,Operations,Active,Arroyo Group,Edward Reed,High,2,7,3.293150684931507,3.0,24.0,0.4113620807665982,0.375,0.6,0.4,0.7,0.4797724161533196,Medium Risk,0,0.13
23,Storage,2021-04-09,2024-04-08,8992,Finance,In Maintenance,"Smith, Hunt and May",David Hansen,High,3,9,4.86027397260274,4.0,11.0,0.6071184120465435,0.5,0.275,0.6,0.9,0.5514236824093087,Medium Risk,1,0.74
24,Laptop,2019-06-20,2022-06-19,1931,HR,Retired,Thomas LLC,John Harris,Low,3,10,6.6657534246575345,1.0,5.0,0.8326488706365504,0.125,0.125,0.6,1.0,0.46902977412731006,Medium Risk,0,0.28
25,Network Device,2018-11-28,2021-11-27,7230,HR,Active,"Bryant, Wilkerson and Johnson",Dwayne Bennett,Low,2,8,7.2246575342465755,3.0,18.0,0.9024640657084189,0.375,0.45,0.4,0.8,0.5629928131416838,Medium Risk,1,0.58
26,Laptop,2021-05-12,2024-05-11,2268,Risk,In Maintenance,Brown Group,Wendy Martin,Low,2,2,4.76986301369863,1.0,4.0,0.5958247775496235,0.125,0.1,0.4,0.2,0.26666495550992475,Low Risk,0,0.0
27,Network Device,2025-11-05,2028-11-04,7743,HR,Retired,Wyatt-Barrett,David Browning,Medium,1,3,0.2821917808219178,4.0,22.0,0.035249828884325804,0.5,0.55,0.2,0.3,0.34204996577686514,Low Risk,0,0.0
28,Laptop,2025-03-13,2028-03-12,1076,HR,In Maintenance,Small-Kelly,Elizabeth Roman,High,1,4,0.9315068493150684,4.0,21.0,0.1163586584531143,0.5,0.525,0.2,0.4,0.36827173169062283,Low Risk,0,0.09
29,Storage,2021-10-25,2024-10-24,5222,Operations,In Maintenance,Soto and Sons,William Morgan,Medium,5,7,4.315068493150685,2.0,9.0,0.5390143737166324,0.25,0.225,1.0,0.7,0.4828028747433265,Medium Risk,0,0.06
30,Storage,2020-06-03,2023-06-03,5531,Operations,Retired,Nichols-Thomas,Dakota Mcdaniel,High,4,10,5.7095890410958905,0.0,0.0,0.7132101300479123,0.0,0.0,0.8,1.0,0.41264202600958244,Medium Risk,0,0.07
31,Network Device,2022-05-06,2025-05-05,4291,Finance,Retired,"Webb, Hardy and Thomas",Susan Thompson,Medium,2,8,3.786301369863014,0.0,0.0,0.4729637234770705,0.0,0.0,0.4,0.8,0.2745927446954141,Low Risk,0,0.0
32,Network Device,2025-03-07,2028-03-06,3934,HR,Active,Davis-Williams,David West,Low,3,9,0.947945205479452,2.0,11.0,0.11841204654346338,0.25,0.275,0.6,0.9,0.3786824093086927,Low Risk,0,0.03
33,Server,2020-03-30,2023-03-30,5992,Operations,In Maintenance,Harvey-Roberts,Calvin Harrison,High,1,8,5.887671232876713,2.0,11.0,0.7354551676933607,0.25,0.275,0.2,0.8,0.42709103353867217,Medium Risk,0,0.09
34,Laptop,2020-01-30,2023-01-29,2357,IT,Retired,Hernandez-Hayes,Audrey Spencer,Low,5,1,6.052054794520548,2.0,3.0,0.7559890485968515,0.25,0.075,1.0,0.1,0.40619780971937036,Medium Risk,0,0.1
35,Laptop,2018-09-08,2021-09-07,1683,IT,Active,Rose Ltd,Jamie Rojas,Low,2,2,7.446575342465754,1.0,2.0,0.9301848049281314,0.125,0.05,0.4,0.2,0.32353696098562634,Low Risk,0,0.0
36,Storage,2020-02-29,2023-02-28,6394,Risk,Active,Taylor Ltd,Melissa Patterson,High,3,3,5.96986301369863,5.0,20.0,0.7457221081451061,0.625,0.5,0.6,0.3,0.5716444216290212,Medium Risk,1,0.95
37,Storage,2021-10-15,2024-10-14,3046,HR,Active,"Fitzpatrick, Weber and Hall",Jeffrey Hanna,High,5,5,4.342465753424658,4.0,17.0,0.5424366872005476,0.5,0.425,1.0,0.5,0.5684873374401095,Medium Risk,1,0.8
38,Desktop,2018-03-12,2021-03-11,1025,Compliance,Active,"Hudson, Mitchell and Perry",Laurie Beck,High,1,6,7.93972602739726,0.0,0.0,0.9917864476386036,0.0,0.0,0.2,0.6,0.3183572895277207,Low Risk,0,0.0
39,Desktop,2020-08-27,2023-08-27,1463,Finance,Active,Ellis Ltd,Elizabeth Tran,Medium,1,3,5.476712328767123,1.0,6.0,0.6841204654346338,0.125,0.15,0.2,0.3,0.27932409308692674,Low Risk,0,0.0
40,Network Device,2019-05-27,2022-05-26,6309,Finance,Retired,Erickson-Hansen,Dawn Randall,High,4,8,6.7315068493150685,2.0,11.0,0.8408624229979466,0.25,0.275,0.8,0.8,0.5381724845995893,Medium Risk,1,0.6
41,Server,2021-11-16,2024-11-15,13408,Risk,Active,Garcia-Bailey,Julia Anderson,Medium,5,4,4.254794520547946,2.0,14.0,0.5314852840520192,0.25,0.35,1.0,0.4,0.46129705681040384,Medium Risk,0,0.06
42,Storage,2026-01-27,2029-01-26,3710,Compliance,Retired,Patel-Henry,Miguel Hudson,Low,3,8,0.0547945205479452,0.0,0.0,0.006844626967830253,0.0,0.0,0.6,0.8,0.21136892539356605,Low Risk,0,0.0
43,Laptop,2019-01-11,2022-01-10,1124,Operations,In Maintenance,Morales LLC,Carla Perez,Medium,1,8,7.104109589041096,2.0,8.0,0.8874058863791924,0.25,0.2,0.2,0.8,0.44248117727583847,Medium Risk,0,0.08
44,Network Device,2023-01-31,2026-01-30,2602,Finance,In Maintenance,"Campbell, Hernandez and Reed",Sarah Price,Low,2,2,3.0465753424657533,2.0,10.0,0.38056125941136204,0.25,0.25,0.4,0.2,0.2911122518822724,Low Risk,0,0.0
45,Desktop,2018-11-25,2021-11-24,1363,Risk,Retired,Cooper-Turner,Carla Wilson,Low,5,6,7.232876712328767,3.0,11.0,0.9034907597535934,0.375,0.275,1.0,0.6,0.5881981519507187,Medium Risk,1,0.81
46,Network Device,2019-06-06,2022-06-05,6893,Risk,In Maintenance,Graham-Santos,Ethan Perkins,Medium,5,10,6.704109589041096,1.0,6.0,0.8374401095140315,0.125,0.15,1.0,1.0,0.5349880219028064,Medium Risk,1,0.8
47,Network Device,2019-08-31,2022-08-30,2812,Compliance,Active,Harmon and Sons,Carol Dixon,Low,5,4,6.468493150684932,0.0,0.0,0.8080082135523614,0.0,0.0,1.0,0.4,0.3716016427104723,Low Risk,0,0.01
48,Network Device,2022-03-30,2025-03-29,5699,IT,In Maintenance,"Wolf, Ibarra and Burnett",Christina Gray,Medium,4,7,3.8876712328767122,2.0,13.0,0.4856262833675564,0.25,0.325,0.8,0.7,0.4621252566735113,Medium Risk,0,0.14
49,Network Device,2019-10-06,2022-10-05,7976,Finance,In Maintenance,"Smith, Cole and Gordon",Katie Black,Medium,3,5,6.36986301369863,2.0,12.0,0.795687885010267,0.25,0.3,0.6,0.5,0.45913757700205343,Medium Risk,0,0.13
50,Server,2023-10-24,2026-10-23,7500,Compliance,In Maintenance,Bennett and Sons,Laura Young,High,1,2,2.317808219178082,1.0,2.0,0.28952772073921973,0.125,0.05,0.2,0.2,0.16540554414784395,Low Risk,0,0.0
51,Laptop,2023-10-20,2026-10-19,1884,Finance,Retired,Farrell Ltd,William Lee,Low,3,3,2.328767123287671,3.0,7.0,0.29089664613278576,0.375,0.175,0.6,0.3,0.34067932922655714,Low Risk,0,0.0
52,Storage,2023-03-22,2026-03-21,3982,Risk,Retired,Joyce PLC,Keith Williams,Low,3,2,2.9095890410958902,2.0,6.0,0.3634496919917864,0.25,0.15,0.6,0.2,0.29768993839835733,Low Risk,0,0.0
53,Network Device,2023-06-11,2026-06-10,4896,Compliance,In Maintenance,Patterson Inc,Joshua Thornton,Low,1,5,2.6876712328767125,3.0,14.0,0.33572895277207393,0.375,0.35,0.2,0.5,0.35464579055441475,Low Risk,0,0.01
54,Storage,2022-02-22,2025-02-21,8119,HR,Active,Lane-Johnson,Thomas Kirk,Low,5,4,3.9863013698630136,2.0,11.0,0.4979466119096509,0.25,0.275,1.0,0.4,0.4395893223819302,Medium Risk,0,0.02
55,Desktop,2025-07-24,2028-07-23,1787,IT,Active,"Campos, Dodson and Everett",Henry Hicks,Medium,5,6,0.5671232876712329,0.0,0.0,0.07084188911704312,0.0,0.0,1.0,0.6,0.2541683778234086,Low Risk,0,0.0
56,Laptop,2022-05-11,2025-05-10,1570,Risk,Active,Austin-Blair,Emily Frye,Medium,5,10,3.7726027397260276,2.0,6.0,0.47125256673511295,0.25,0.15,1.0,1.0,0.49925051334702264,Medium Risk,1,0.19
57,Storage,2020-10-07,2023-10-07,3430,Risk,Retired,"Callahan, Chase and Brewer",Bobby Peterson,Low,3,1,5.364383561643836,1.0,7.0,0.6700889801505817,0.125,0.175,0.6,0.1,0.31151779603011637,Low Risk,0,0.0
58,Desktop,2019-03-06,2022-03-05,1359,Compliance,In Maintenance,Charles and Sons,Jennifer Jones,Medium,3,1,6.956164383561644,1.0,6.0,0.8689253935660507,0.125,0.15,0.6,0.1,0.3462850787132101,Low Risk,0,0.0
59,Desktop,2022-07-24,2025-07-23,1093,Risk,Retired,Collier Inc,Samantha Robinson,Medium,1,3,3.56986301369863,3.0,14.0,0.445927446954141,0.375,0.35,0.2,0.3,0.34668548939082816,Low Risk,0,0.02
60,Laptop,2022-12-31,2025-12-30,1187,Compliance,Retired,"Turner, Nielsen and Jones",Luke Moore,High,4,7,3.1315068493150684,1.0,6.0,0.39117043121149897,0.125,0.15,0.8,0.7,0.37073408624229975,Low Risk,0,0.0
61,Network Device,2019-11-08,2022-11-07,4792,IT,In Maintenance,Greene and Sons,Rachel Mckenzie,Medium,3,10,6.279452054794521,4.0,13.0,0.7843942505133471,0.5,0.325,0.6,1.0,0.6118788501026695,Medium Risk,1,0.97
62,Storage,2018-06-25,2021-06-24,4391,Finance,Active,"Kidd, Taylor and Morse",Amy Chambers,High,5,1,7.652054794520548,2.0,5.0,0.9558521560574949,0.25,0.125,1.0,0.1,0.45617043121149903,Medium Risk,0,0.12
63,Laptop,2024-09-08,2027-09-08,1557,Operations,Retired,"Sullivan, Fields and Ford",Tracey Gonzalez,Medium,4,10,1.441095890410959,0.0,0.0,0.18001368925393565,0.0,0.0,0.8,1.0,0.30600273785078713,Low Risk,0,0.0
64,Network Device,2025-02-09,2028-02-09,5392,HR,Active,Douglas Group,Isabella Douglas MD,Low,1,6,1.0191780821917809,4.0,25.0,0.1273100616016427,0.5,0.625,0.2,0.6,0.42046201232032854,Medium Risk,0,0.2
65,Network Device,2022-09-20,2025-09-19,2908,HR,Retired,"Stark, Wright and Jones",Jack Wilson,Low,5,8,3.410958904109589,5.0,26.0,0.4260780287474332,0.625,0.65,1.0,0.8,0.6727156057494866,Medium Risk,1,0.98
66,Storage,2021-11-09,2024-11-08,8053,Finance,Active,"Ortiz, Carr and White",Janet Avery,Medium,5,1,4.273972602739726,2.0,6.0,0.5338809034907598,0.25,0.15,1.0,0.1,0.376776180698152,Low Risk,0,0.01
67,Laptop,2021-12-28,2024-12-27,1418,HR,Active,"Snow, Herring and Reid",David Smith,High,3,5,4.13972602739726,0.0,0.0,0.5171115674195755,0.0,0.0,0.6,0.5,0.2684223134839151,Low Risk,0,0.0
68,Server,2021-03-13,2024-03-12,6965,Finance,In Maintenance,"Pope, Chung and Morgan",Anthony Nguyen,Low,4,3,4.934246575342466,0.0,0.0,0.6163586584531143,0.0,0.0,0.8,0.3,0.28827173169062287,Low Risk,0,0.0
69,Desktop,2019-11-23,2022-11-22,1578,Risk,Retired,Shea-Ferguson,Cody Jenkins,High,5,9,6.238356164383561,1.0,7.0,0.7792607802874743,0.125,0.175,1.0,0.9,0.5133521560574948,Medium Risk,1,0.61
70,Server,2021-03-25,2024-03-24,6180,Operations,Retired,Thomas-Michael,Kimberly Hardy,High,4,1,4.901369863013699,1.0,4.0,0.6122518822724161,0.125,0.1,0.8,0.1,0.31495037645448326,Low Risk,0,0.0
71,Network Device,2023-06-06,2026-06-05,2637,HR,Retired,"Green, Davis and Rivera",Timothy Smith,Medium,5,7,2.7013698630136984,2.0,11.0,0.33744010951403147,0.25,0.275,1.0,0.7,0.45248802190280624,Medium Risk,0,0.02
72,Network Device,2024-02-10,2027-02-09,4371,Finance,In Maintenance,"Humphrey, Harris and Moore",Timothy Obrien,High,3,3,2.0191780821917806,2.0,9.0,0.2522245037645448,0.25,0.225,0.6,0.3,0.3054449007529089,Low Risk,0,0.0
73,Storage,2025-09-16,2028-09-15,10538,Compliance,In Maintenance,Palmer-Fisher,Dawn Pierce,High,4,2,0.4191780821917808,5.0,23.0,0.052361396303901436,0.625,0.575,0.8,0.2,0.46297227926078033,Medium Risk,0,0.54
74,Desktop,2019-01-30,2022-01-29,1692,Risk,In Maintenance,Owens-Lee,Matthew Martin,Low,1,7,7.052054794520548,1.0,6.0,0.8809034907597536,0.125,0.15,0.2,0.7,0.3786806981519507,Low Risk,0,0.01
75,Server,2023-04-25,2026-04-24,10562,IT,In Maintenance,House PLC,James Clark,High,1,9,2.8164383561643835,2.0,13.0,0.351813826146475,0.25,0.325,0.2,0.9,0.375362765229295,Low Risk,0,0.05
76,Laptop,2025-12-12,2028-12-11,2086,Risk,Active,Green PLC,Amy Goodwin,Medium,3,3,0.18082191780821918,4.0,10.0,0.022587268993839837,0.5,0.25,0.6,0.3,0.3395174537987679,Low Risk,0,0.09
77,Desktop,2026-01-04,2029-01-03,1010,IT,In Maintenance,Wilson Ltd,James Bradford,High,2,10,0.1178082191780822,1.0,4.0,0.014715947980835045,0.125,0.1,0.4,1.0,0.270443189596167,Low Risk,0,0.0
78,Desktop,2025-08-02,2028-08-01,954,IT,Retired,"Moore, Lewis and Mcbride",Christina Jennings,Medium,4,10,0.5424657534246575,2.0,11.0,0.0677618069815195,0.25,0.275,0.8,1.0,0.4135523613963039,Medium Risk,0,0.02
79,Storage,2020-10-06,2023-10-06,10354,Compliance,Retired,"Wilson, Peterson and Gray",Danielle Brown,Low,5,6,5.367123287671233,1.0,4.0,0.6704312114989733,0.125,0.1,1.0,0.6,0.4315862422997947,Medium Risk,0,0.05
80,Server,2024-08-17,2027-08-17,7473,Operations,Active,Rowe-Francis,Angela Hardy,Medium,4,5,1.5013698630136987,4.0,18.0,0.18754277891854895,0.5,0.45,0.8,0.5,0.4725085557837098,Medium Risk,0,0.58
81,Server,2021-11-10,2024-11-09,14689,Finance,In Maintenance,Duffy and Sons,Jennifer Hubbard,Low,1,5,4.271232876712329,5.0,25.0,0.5335386721423683,0.625,0.625,0.2,0.5,0.5242077344284736,Medium Risk,1,0.92
82,Network Device,2018-02-16,2021-02-15,5702,Finance,Active,Cooper-Wallace,Elizabeth Cummings,Medium,3,2,8.005479452054795,2.0,3.0,1.0,0.25,0.075,0.6,0.2,0.41000000000000003,Medium Risk,0,0.04
83,Laptop,2025-04-05,2028-04-04,2259,Risk,Retired,"Wells, Howe and Lewis",Bryan Rice,Medium,4,10,0.8684931506849315,1.0,2.0,0.10848733744010951,0.125,0.05,0.8,1.0,0.33919746748802193,Low Risk,0,0.01
84,Storage,2020-07-09,2023-07-09,3672,Operations,Retired,Campbell-Scott,Olivia Perez,Low,2,6,5.610958904109589,3.0,5.0,0.7008898015058179,0.375,0.125,0.4,0.6,0.42767796030116356,Medium Risk,0,0.06
85,Storage,2020-10-08,2023-10-08,10792,Risk,Active,Cook-Conley,Carmen Carroll DDS,High,4,2,5.361643835616438,2.0,10.0,0.6697467488021902,0.25,0.25,0.8,0.2,0.40894934976043806,Medium Risk,0,0.02
86,Server,2021-12-20,2024-12-19,6381,Risk,Retired,Cooley-Gibson,Gregory Rivera,High,1,4,4.161643835616438,5.0,25.0,0.5198494182067077,0.625,0.625,0.2,0.4,0.5064698836413415,Medium Risk,1,0.9
87,Network Device,2020-05-04,2023-05-04,5599,Risk,Retired,Hensley-Diaz,Michael Jackson,Low,2,6,5.791780821917809,5.0,14.0,0.7234770704996578,0.625,0.35,0.4,0.6,0.5521954140999316,Medium Risk,1,0.43
88,Server,2024-09-23,2027-09-23,9634,Operations,In Maintenance,Callahan-Morton,Ana Lewis,Medium,5,1,1.4,5.0,22.0,0.17488021902806294,0.625,0.55,1.0,0.1,0.4974760438056126,Medium Risk,1,0.82
89,Server,2023-05-06,2026-05-05,6079,HR,Active,"Wilson, Franklin and Williams",Christopher Valdez,Low,4,5,2.786301369863014,1.0,5.0,0.3480492813141684,0.125,0.125,0.8,0.5,0.3271098562628337,Low Risk,0,0.0
90,Server,2021-05-21,2024-05-20,14874,IT,In Maintenance,Rangel-Griffith,Lisa Williams,High,5,3,4.745205479452054,0.0,0.0,0.5927446954140999,0.0,0.0,1.0,0.3,0.31354893908281994,Low Risk,0,0.0
91,Server,2021-03-14,2024-03-13,10082,Compliance,Retired,Collins-Salazar,Natalie Delacruz,Low,4,3,4.931506849315069,1.0,3.0,0.6160164271047228,0.125,0.075,0.8,0.3,0.3407032854209445,Low Risk,0,0.0
92,Storage,2019-01-09,2022-01-08,4388,HR,Retired,Armstrong-Powell,Rhonda Watson,Medium,3,3,7.109589041095891,2.0,9.0,0.8880903490759754,0.25,0.225,0.6,0.3,0.43261806981519507,Medium Risk,0,0.06
93,Storage,2018-08-30,2021-08-29,4531,Compliance,Retired,"Bell, Anderson and Henson",Priscilla Murphy,Medium,5,6,7.471232876712329,1.0,2.0,0.9332648870636551,0.125,0.05,1.0,0.6,0.474152977412731,Medium Risk,0,0.03
94,Laptop,2022-03-17,2025-03-16,1742,HR,Active,"White, Bailey and Wright",Thomas Herman,High,3,8,3.9232876712328766,0.0,0.0,0.4900752908966461,0.0,0.0,0.6,0.8,0.3080150581793292,Low Risk,0,0.0
95,Desktop,2025-08-06,2028-08-05,1263,IT,Active,"Smith, Davis and Delgado",James Tucker,High,3,2,0.5315068493150685,2.0,6.0,0.06639288158795346,0.25,0.15,0.6,0.2,0.23827857631759067,Low Risk,0,0.0
96,Storage,2020-05-13,2023-05-13,11843,Compliance,Retired,Green-Lin,Harry Evans,High,3,10,5.767123287671233,2.0,14.0,0.7203969883641342,0.25,0.35,0.6,1.0,0.5290793976728269,Medium Risk,1,0.85
97,Desktop,2020-10-29,2023-10-29,1571,IT,Active,Mckinney Group,Carlos Clark,High,5,3,5.304109589041096,1.0,4.0,0.6625598904859685,0.125,0.1,1.0,0.3,0.38501197809719373,Low Risk,0,0.01
98,Network Device,2019-01-26,2022-01-25,2357,Operations,In Maintenance,"Torres, Martin and Smith",Kevin Terry,Low,2,8,7.063013698630137,0.0,0.0,0.8822724161533195,0.0,0.0,0.4,0.8,0.3564544832306639,Low Risk,0,0.0
99,Storage,2022-04-25,2025-04-24,7668,Compliance,In Maintenance,Jacobs-Rose,Ryan Barnes,High,5,4,3.8164383561643835,3.0,14.0,0.47672826830937715,0.375,0.35,1.0,0.4,0.48784565366187543,Medium Risk,0,0.17
